total_tokens,total_bytes,compression,token_span_score,raw_identifier_splitting_score,identifier_splitting_score,identifier_fertility
80,267,3.3375,1.15,0.4666666666666667,0.72,1.95
305,1080,3.540983606557377,1.0655737704918034,0.3966666666666667,0.93,1.44
440,1717,3.9022727272727273,1.084090909090909,0.3346153846153846,0.6365689865689866,2.1794871794871793
2016,6529,3.2385912698412698,1.1845238095238095,0.4487646068528425,0.539791145673499,2.627450980392157
482,1632,3.3858921161825726,1.120331950207469,0.17329931972789117,0.522704081632653,2.857142857142857
125,345,2.76,1.232,0.6666666666666666,0.9411764705882353,1.2941176470588236
1540,6134,3.983116883116883,1.1214285714285714,0.28650196920873605,0.651987110633727,2.300751879699248
91,329,3.6153846153846154,1.1538461538461537,0.5793650793650794,0.7777777777777779,1.7619047619047619
217,751,3.4608294930875574,1.1382488479262673,0.5322954822954822,0.7893162393162393,1.8205128205128205
3825,14336,3.7479738562091502,1.284967320261438,0.7257580437580435,0.9468648648648648,1.3545945945945945
995,3553,3.570854271356784,1.1407035175879396,0.5623783922171017,0.7864823348694316,1.8118279569892473
8854,34346,3.8791506663654847,1.2269030946464874,0.4640315425423678,0.735494032656116,2.034523112931539
782,2871,3.6713554987212276,1.184143222506394,0.5140585839598998,0.8389567669172933,1.7763157894736843
2927,11331,3.8711991800478307,1.2131875640587633,0.504513159430439,0.8301062091503267,1.911764705882353
246,751,3.0528455284552845,1.1747967479674797,0.502710027100271,0.7920731707317074,2.1951219512195124
1843,6107,3.313619099294628,1.165491047205643,0.5178686526001967,0.6990274267119904,2.102908277404922
2854,9376,3.2852137351086195,1.1541695865451997,0.5022911518619673,0.6852602511937271,2.6587982832618025
675,2739,4.057777777777778,1.108148148148148,0.5581349206349208,0.799718045112782,1.9649122807017543
223,788,3.5336322869955157,1.2825112107623318,0.4286666666666667,0.92,1.58
3064,8741,2.8528067885117494,1.1546997389033942,0.36704600279828264,0.5753169449598018,2.864741641337386
822,3283,3.993917274939173,1.0498783454987834,0.4470085470085471,0.8846153846153846,1.3846153846153846
274,929,3.3905109489051095,1.2153284671532847,0.3907407407407407,0.6722222222222223,1.2
394,1202,3.050761421319797,1.1903553299492386,0.4389423076923079,0.6184294871794874,2.048076923076923
236,987,4.182203389830509,1.0042372881355932,0.5,0.5,1.6666666666666667
7867,25877,3.2893097750095337,1.2101182153298589,0.6249554717376504,0.8304455445544553,1.9966996699669968
397,1442,3.632241813602015,1.2720403022670026,0.3027450980392156,0.8988235294117648,1.4941176470588236
255,976,3.827450980392157,1.0196078431372548,0.75,0.8666666666666668,2.3
13457,47949,3.56312699710188,1.1530058705506427,0.7100365523807854,0.9232788210244474,1.8142664872139973
899,3178,3.5350389321468296,1.025583982202447,0.5457548943181126,0.778536079182631,4.138888888888889
66,187,2.8333333333333335,1.196969696969697,0.2380952380952381,0.5803571428571429,1.8571428571428572
699,2772,3.9656652360515023,1.0829756795422032,0.4233320924358659,0.5228263089112144,3.339622641509434
665,2689,4.0436090225563905,1.1864661654135338,0.5805364314400459,0.807128514056225,1.8253012048192772
1814,7594,4.18632855567806,1.213340683572216,0.5124489795918368,0.8777551020408169,1.8285714285714285
4403,16719,3.797183738360209,1.2602770838064956,0.48227046872880175,0.7538919413919408,2.0865384615384617
108,351,3.25,1.1574074074074074,0.35,0.48333333333333334,2.0
307,1006,3.2768729641693812,1.221498371335505,0.4923809523809524,0.8128571428571428,1.8714285714285714
261,850,3.256704980842912,1.2260536398467432,0.3670731707317073,0.874390243902439,2.024390243902439
1498,6019,4.018024032042724,1.2289719626168225,0.5878524046434498,0.8461028192371473,1.6393034825870647
2030,7559,3.7236453201970443,1.2137931034482758,0.652105144658336,0.889220983901835,1.7163120567375887
1339,4522,3.37714712471994,1.1613144137415983,0.5382818289068293,0.7736995924495925,2.0
95,348,3.663157894736842,1.0736842105263158,0.1875,0.425,2.125
8599,35597,4.139667403186417,1.2028142807303175,0.6689243325733156,0.8405183633283577,2.1714990746452805
645,2287,3.545736434108527,1.1984496124031008,0.5074368018812465,0.69239417989418,2.240740740740741
1292,4846,3.7507739938080493,1.1857585139318885,0.5347536121886775,0.7750945212795866,2.103896103896104
1834,6890,3.756815703380589,1.1575790621592148,0.5749591149591148,0.8352380952380951,2.6
673,2537,3.7696879643387815,1.200594353640416,0.5242117117117117,0.7834459459459461,1.9391891891891893
175,532,3.04,1.2571428571428571,0.2976190476190476,0.6904761904761905,1.6428571428571428
297,1118,3.7643097643097643,1.1986531986531987,0.5990384615384614,0.8931318681318682,1.7115384615384615
77,230,2.987012987012987,1.12987012987013,0.29333333333333333,0.6266666666666667,1.7333333333333334
4483,16337,3.644211465536471,1.2261878206558108,0.48543855522450435,0.6658454547038514,2.313940724478595
130,463,3.5615384615384613,1.2538461538461538,0.32469135802469135,0.5859788359788359,2.0
4569,16713,3.6579120157583715,1.2385642372510397,0.45706244672809965,0.7013504929158418,1.987841945288754
325,1306,4.018461538461539,1.0707692307692307,0.5538888888888889,0.7483333333333333,2.033333333333333
1500,5987,3.9913333333333334,1.2386666666666666,0.5202608431907797,0.8741383351255962,1.7006369426751593
659,2356,3.575113808801214,1.0849772382397571,0.5212237583205325,0.6213005632360471,2.118279569892473
305,1102,3.6131147540983606,1.2426229508196722,0.41417910447761186,0.8246268656716418,1.6119402985074627
330,1193,3.6151515151515152,1.1636363636363636,0.4336158192090395,0.8516949152542372,1.271186440677966
216,816,3.7777777777777777,1.0509259259259258,0.5107843137254902,0.75,1.6470588235294117
1544,6003,3.8879533678756477,1.2124352331606219,0.48789299925663576,0.7107820630547901,1.980716253443526
214,845,3.9485981308411215,1.0420560747663552,0.3282051282051282,0.6153846153846154,1.7692307692307692
427,1391,3.2576112412177984,1.1288056206088992,0.5882288228822883,0.760926449787836,2.1782178217821784
3102,10220,3.29464861379755,1.0918762088974856,0.4226071824078464,0.607775668406898,2.7541528239202657
989,3379,3.416582406471183,1.0798786653185035,0.34542483660130713,0.4078711484593837,3.4823529411764707
62,168,2.7096774193548385,1.2741935483870968,0.3703703703703704,0.6309523809523809,3.4444444444444446
665,2658,3.9969924812030073,1.1774436090225564,0.5117195767195767,0.7296296296296299,2.0296296296296297
1667,7746,4.646670665866827,1.2171565686862627,0.7604727398205657,0.9074534161490684,2.3152173913043477
273,1003,3.673992673992674,1.2637362637362637,0.3214285714285715,0.8303571428571429,1.5892857142857142
916,3550,3.8755458515283845,1.2183406113537119,0.5234045999352122,0.758843537414966,1.836734693877551
340,1348,3.9647058823529413,1.0647058823529412,0.43333333333333335,0.6944444444444444,2.0
420,1591,3.788095238095238,1.1976190476190476,0.5194704049844239,0.7957943925233646,1.5420560747663552
1066,4257,3.99343339587242,1.25140712945591,0.5966709760827404,0.7246175393234218,2.4479638009049776
176,463,2.6306818181818183,1.2443181818181819,0.6774193548387096,1.0,1.3225806451612903
2256,7212,3.1968085106382977,1.2304964539007093,0.5285844392401771,0.7972677595628409,1.8060109289617485
1059,4067,3.8404154863078377,1.1813031161473089,0.6367212497647281,0.7701298701298703,2.1264822134387353
3257,10085,3.096407737181455,1.0620202640466687,0.4344584073001342,0.552669293136919,2.9136690647482015
652,2463,3.7776073619631902,1.2453987730061349,0.4729166666666668,0.71015625,1.859375
7181,20862,2.9051664113633198,1.2254560646149562,0.5196952685977081,0.8290076138856622,2.296747967479675
193,700,3.626943005181347,1.238341968911917,0.5962121212121213,0.8454545454545456,1.7272727272727273
576,2270,3.9409722222222223,1.1041666666666667,0.5350589777195283,0.7238750546089995,2.0091743119266057
381,1269,3.3307086614173227,1.288713910761155,0.4844444444444444,0.9444444444444444,1.2444444444444445
1833,7459,4.069285324604474,1.1642116748499727,0.538996763754045,0.8660194174757283,1.8495145631067962
775,3242,4.183225806451613,1.175483870967742,0.4611111111111112,0.741445126107703,1.9754601226993864
516,2231,4.323643410852713,1.0891472868217054,0.32170542635658916,0.6395348837209303,1.8604651162790697
1777,6150,3.460889138998312,1.1412492965672483,0.49940721144424827,0.7095776993925144,3.3271604938271606
1523,5991,3.9336835193696653,1.1352593565331583,0.48210095632455924,0.845896184560781,2.0745341614906834
1810,6561,3.624861878453039,1.1524861878453039,0.698439000960615,0.8531885341683612,2.2680115273775217
123,432,3.5121951219512195,1.113821138211382,0.5245098039215685,0.75,1.4411764705882353
