total_tokens,total_bytes,compression,token_span_score,raw_identifier_splitting_score,identifier_splitting_score,identifier_fertility
2439,3951,1.6199261992619927,1.038540385403854,0.5008305647840531,0.8219659957006057,2.0930232558139537
2537,7913,3.119038234134805,1.3393772171856524,0.4666551086453998,0.8690476190476191,1.5760517799352751
209,456,2.1818181818181817,1.1578947368421053,0.07407407407407407,0.6984126984126984,2.2222222222222223
187,436,2.3315508021390374,1.4064171122994653,0.2533333333333333,0.6,2.4
905,2644,2.921546961325967,1.2276243093922652,0.3549679487179488,0.7668269230769231,1.4519230769230769
89,273,3.067415730337079,1.449438202247191,0.41025641025641024,0.8846153846153846,1.6153846153846154
90,219,2.433333333333333,1.211111111111111,0.5555555555555556,0.6666666666666666,1.6111111111111112
3493,12837,3.6750644145433724,1.3103349556255368,0.658021541950113,0.9369331065759638,1.3979591836734695
638,2313,3.6253918495297808,1.329153605015674,0.5095015576323988,0.6995327102803738,1.5420560747663552
120,363,3.025,1.3583333333333334,0.11764705882352941,0.47058823529411764,1.5294117647058822
1423,4018,2.8236120871398454,1.3865073787772313,0.6012269938650306,0.656441717791411,0.852760736196319
1972,4205,2.1323529411764706,1.1764705882352942,0.7919008264462809,0.8877685950413223,1.2165289256198346
1642,3563,2.1699147381242385,1.1778319123020706,0.3333333333333333,1.0,2.0
1719,5422,3.1541593949970914,1.3182082606166377,0.43646986469864685,0.915524512387981,1.3911439114391144
2407,8385,3.483589530535937,1.2887411715828831,0.35641380583241017,0.8263911960132888,1.75
5934,23490,3.9585439838220426,1.3447927199191103,0.5551633444075293,0.6817212825933755,2.104651162790698
171,553,3.2339181286549707,1.2456140350877194,0.39649122807017545,0.7473684210526317,1.6842105263157894
400,913,2.2825,1.175,0.5151515151515151,0.8863636363636364,1.3636363636363635
534,1870,3.50187265917603,1.3370786516853932,0.42172284644194746,0.7595505617977527,1.651685393258427
165,478,2.896969696969697,1.3696969696969696,0.25,0.75,1.25
68,155,2.2794117647058822,1.4558823529411764,0.5,0.9285714285714286,1.0714285714285714
481,1740,3.6174636174636174,1.3076923076923077,0.39474885844748847,0.7863013698630137,1.8082191780821917
3420,9225,2.6973684210526314,1.3084795321637428,0.49978991596638583,0.7080118411000761,1.8328877005347595
754,1687,2.2374005305039786,1.1485411140583555,0.29166666666666663,0.6051587301587301,2.425925925925926
486,1763,3.6275720164609053,1.1851851851851851,0.1494444444444444,0.701984126984127,2.433333333333333
201,786,3.91044776119403,1.3383084577114428,0.47058823529411764,0.9705882352941176,1.3235294117647058
1489,2765,1.8569509738079248,1.155137676292814,0.40384615384615385,0.4230769230769231,2.6153846153846154
507,1137,2.242603550295858,1.2465483234714003,0.4076923076923075,0.6384615384615384,1.9538461538461538
5228,17450,3.337796480489671,1.3259372609028308,0.44978680496196355,0.7563420066604774,1.7791932059447984
60,159,2.65,1.2166666666666666,0.5119047619047619,0.75,1.5714285714285714
481,1459,3.0332640332640333,1.1268191268191268,0.6354166666666666,0.90625,1.3125
178,503,2.8258426966292136,1.353932584269663,0.32432432432432434,0.6094594594594593,1.8108108108108107
360,1169,3.2472222222222222,1.3222222222222222,0.3780487804878049,0.8292682926829268,1.2926829268292683
264,781,2.9583333333333335,1.3181818181818181,0.49852994227994235,0.8498376623376622,2.227272727272727
479,1398,2.918580375782881,1.350730688935282,0.19230769230769237,0.7969230769230768,2.0153846153846153
4180,14713,3.5198564593301436,1.3279904306220096,0.5264192139737998,0.7687911554723791,1.98981077147016
334,1085,3.248502994011976,1.311377245508982,0.4106133979015335,0.8918079096045198,1.5084745762711864
304,953,3.1348684210526314,1.3453947368421053,0.4526515151515151,0.9034090909090909,1.4090909090909092
292,788,2.6986301369863015,1.3835616438356164,0.4645502645502646,0.9007936507936508,1.5873015873015872
82,277,3.3780487804878048,1.1219512195121952,0.17142857142857143,0.3333333333333333,6.0
5669,16912,2.983242194390545,1.2388428294231786,0.5540191674153936,0.8699520814615155,1.689308176100629
2878,13350,4.638637943015984,1.2334954829742877,0.6133652998236337,0.863033234126984,2.7847222222222223
5494,25457,4.633600291226793,1.313250819075355,0.5666963106691455,0.8821893443285633,2.0203735144312396
344,1206,3.505813953488372,1.4534883720930232,0.25471698113207547,0.7122641509433962,1.4528301886792452
271,862,3.180811808118081,1.0959409594095941,0.8,1.0,3.5
1109,3226,2.90892696122633,1.4292155094679893,0.3472972972972973,0.9281081081081082,1.281081081081081
747,2450,3.2797858099062918,1.3882195448460508,0.3135135135135134,0.7279279279279279,1.7387387387387387
137,438,3.197080291970803,1.4087591240875912,0.1754385964912281,1.0,1.0526315789473684
1739,6183,3.5554916618746404,1.4163312248418631,0.4660675381263617,0.8198412698412698,1.6797385620915033
519,1770,3.4104046242774566,1.3603082851637764,0.4653846153846154,0.9075702075702076,1.6581196581196582
1717,5217,3.03843913803145,1.3022714036109493,0.4127705627705623,0.7865530303030304,1.875
22,59,2.6818181818181817,1.3181818181818181,0.0,1.0,1.0
356,1107,3.109550561797753,1.353932584269663,0.5489071038251366,0.8368852459016393,1.8032786885245902
257,808,3.1439688715953307,1.4085603112840468,0.28186274509803916,0.9779411764705882,1.3823529411764706
371,1191,3.210242587601078,1.3126684636118597,0.3563218390804597,0.82183908045977,1.5344827586206897
922,3057,3.3156182212581347,1.3232104121475055,0.5752669552669551,0.9018181818181819,1.587878787878788
13274,43284,3.2608106072020493,1.2757269850836221,0.45798326629922054,0.7942735488355928,1.440563086548488
250,816,3.264,1.3,0.4305555555555556,0.8055555555555556,1.4444444444444444
530,1593,3.0056603773584905,1.441509433962264,0.3199588477366255,0.8580246913580247,1.4691358024691359
9985,21166,2.1197796695042563,1.2222333500250375,0.5326065184422123,0.5778221306549913,1.91123701605288
310,925,2.9838709677419355,1.2548387096774194,0.4814814814814815,0.8055555555555556,1.8
119,288,2.4201680672268906,1.3109243697478992,0.03125,0.2857142857142857,4.75
22,67,3.0454545454545454,1.1818181818181819,0.0,0.0,0.0
1314,3903,2.970319634703196,1.2070015220700152,0.5158325234855848,0.7780612244897959,1.619047619047619
198,682,3.4444444444444446,1.2878787878787878,0.5426829268292683,0.9085365853658537,1.5609756097560976
443,1330,3.0022573363431153,1.3205417607223475,0.46761363636363645,0.8056818181818183,1.3636363636363635
4073,10906,2.677633194205745,1.1873312054996317,0.6262401532893332,0.7342701014832161,1.8226527570789866
1209,2924,2.4185277088502897,1.1555004135649296,0.5088495575221239,0.6556047197640118,1.6814159292035398
680,1994,2.9323529411764704,1.2529411764705882,0.6152749832327297,0.9454225352112676,1.2394366197183098
819,1792,2.1880341880341883,1.1184371184371185,0.7529761904761905,0.9672619047619048,1.119047619047619
7487,20368,2.7204487778816615,1.3742486977427542,0.35243116578793177,0.8134822997740395,1.2873462214411249
72,207,2.875,1.3888888888888888,0.5952380952380951,1.0,1.1428571428571428
992,1853,1.8679435483870968,1.1129032258064515,0.2027777777777778,0.48293650793650794,2.425925925925926
1290,4303,3.335658914728682,1.2348837209302326,0.4230027548209367,0.7352617079889807,1.9049586776859504
285,752,2.6385964912280704,1.3368421052631578,0.38627450980392153,0.7588235294117647,1.588235294117647
299,782,2.6153846153846154,1.2976588628762542,0.3947916666666666,0.7251984126984127,1.75
23833,88707,3.7220240842529266,1.3328158435782318,0.3921666175592876,0.829809707189527,1.6820561637315563
151,556,3.6821192052980134,1.2847682119205297,0.4053333333333333,0.7839999999999999,1.64
160,425,2.65625,1.35625,0.2971014492753623,0.782608695652174,1.9130434782608696
568,1885,3.318661971830986,1.392605633802817,0.358974358974359,0.8846153846153846,1.2179487179487178
1075,2947,2.741395348837209,1.2995348837209302,0.3731060606060606,0.5795454545454546,1.6534090909090908
274,836,3.051094890510949,1.2846715328467153,0.3760162601626017,0.774390243902439,1.6585365853658536
1904,4711,2.474264705882353,1.3214285714285714,0.33285714285714285,0.9728571428571429,1.3542857142857143
60,226,3.7666666666666666,1.0,0.0,0.0,0.0
142,343,2.415492957746479,1.147887323943662,0.21666666666666665,0.6071428571428571,4.0
196,502,2.561224489795918,1.2091836734693877,0.32910052910052906,0.6876543209876543,2.5185185185185186
23,81,3.5217391304347827,1.3478260869565217,0.3,0.5,2.0
6751,21197,3.139831136127981,1.3677973633535772,0.45200648804517535,0.7611177860547076,1.6072329688814129
2217,7543,3.4023455119530897,1.2562020748759586,0.48054751291002923,0.6918575792287132,1.9553264604810996
697,1600,2.2955523672883786,1.1779053084648494,0.410919540229885,0.7232758620689654,1.9137931034482758
193,560,2.901554404145078,1.3264248704663213,0.36951754385964913,0.6691729323308271,2.0
75,293,3.9066666666666667,1.4,0.25925925925925924,0.8333333333333334,1.3888888888888888
55,111,2.018181818181818,1.1818181818181819,0.5,0.5,1.5
191,569,2.979057591623037,1.219895287958115,0.39166666666666666,0.6495238095238096,1.9666666666666666
17739,61394,3.4609617227577654,1.3511471898077683,0.5318423227113392,0.7780951381392194,1.6028547439126783
62804,103386,1.6461690338195019,1.0245048086109165,0.717032967032967,0.8025030525030524,1.3333333333333333
41686,149948,3.5970829535095716,1.196972604711414,0.4396831514962355,0.8311344018980455,3.926270136307311
49805,106251,2.133340026101797,1.2028310410601346,0.8228809146965326,0.9219424405106754,1.271774961541279
102461,172705,1.6855681674002791,1.145528542567416,0.07561391361018414,0.08937131437432125,6.604427333974976
216382,698158,3.226506825891248,1.1765165309498942,0.39760794643133857,0.7995572465060183,1.8775174899300402
