total_tokens,total_bytes,compression,token_span_score,raw_identifier_splitting_score,identifier_splitting_score,identifier_fertility
199,673,3.3819095477386933,1.3015075376884422,0.27380952380952384,0.9285714285714286,1.4642857142857142
340,1204,3.541176470588235,1.4411764705882353,0.283132530120482,0.963855421686747,1.3855421686746987
283,1342,4.742049469964664,1.2756183745583038,0.5742424242424243,0.9659090909090909,1.75
900,3660,4.066666666666666,1.268888888888889,0.4184615384615385,0.9015384615384616,1.8
181,1058,5.845303867403315,1.3535911602209945,0.5271317829457364,0.9302325581395349,1.2790697674418605
713,2474,3.4698457223001404,1.326788218793829,0.3953030303030303,0.8359090909090909,2.1272727272727274
940,2982,3.1723404255319148,1.2117021276595745,0.3613505747126437,0.9202586206896551,1.3275862068965518
1151,2922,2.5386620330147696,1.1798436142484796,0.3929467256390333,0.5365250134480902,5.743589743589744
1280,4932,3.853125,1.07734375,0.7166666666666665,0.9354166666666667,2.5
3493,6315,1.807901517320355,1.2124248496993988,0.6491129785247429,0.950392156862745,3.5294117647058822
3169,9649,3.0448090880403913,1.2884190596402652,0.3224858649386952,0.9186582809224316,1.9517819706498951
3115,10799,3.4667736757624397,1.2658105939004816,0.5499688764394643,0.9272175536881422,1.977591036414566
304,993,3.2664473684210527,1.3157894736842106,0.49690721649484537,0.9432989690721649,1.2164948453608246
426,1314,3.084507042253521,1.3450704225352113,0.3817204301075269,0.9309139784946237,1.7849462365591398
126,430,3.4126984126984126,1.3333333333333333,0.20454545454545456,0.9090909090909091,2.090909090909091
3093,11601,3.7507274490785645,1.1299709020368573,0.43640796585711855,0.8131961259079903,1.9491525423728813
164,676,4.121951219512195,1.2865853658536586,0.38392857142857145,0.9642857142857143,1.4642857142857142
1778,6780,3.8132733408323958,1.3374578177727785,0.4485240524781342,0.8905187074829933,2.232142857142857
65,154,2.3692307692307693,1.1076923076923078,0.5,1.0,3.0
3264,14053,4.305453431372549,1.3183210784313726,0.426831312235039,0.9500345065562457,1.7370600414078674
1059,3844,3.6298394711992445,1.2407932011331444,0.3459637188208618,0.8240476190476189,2.4571428571428573
137,290,2.116788321167883,1.0145985401459854,0.5,1.0,3.0
1520,4682,3.080263157894737,1.2835526315789474,0.4231352718078384,0.9253265908133166,1.5014749262536873
1491,5890,3.950368879946345,1.1066398390342052,0.4396358543417367,0.8798319327731092,1.596638655462185
133,451,3.3909774436090228,1.3082706766917294,0.49807692307692314,0.7942307692307692,2.5
367,1104,3.008174386920981,1.1335149863760219,0.5155913978494624,0.8418866080156404,2.774193548387097
510,1736,3.403921568627451,1.1862745098039216,0.28571428571428575,0.6530612244897959,1.7551020408163265
2229,7256,3.2552714221624046,1.306864064602961,0.39232555955192766,0.7551764984600807,1.8474295190713101
1289,4948,3.838634600465477,1.3599689681923972,0.2946820175438597,0.963157894736842,1.3980263157894737
667,2161,3.239880059970015,1.2308845577211394,0.4618578255675031,0.7399513568868409,2.2096774193548385
398,1236,3.1055276381909547,1.3165829145728642,0.4672995780590718,0.9367088607594937,1.6835443037974684
201,658,3.27363184079602,1.2686567164179106,0.7410714285714286,0.7421875,1.578125
643,2523,3.9237947122861585,1.23950233281493,0.45546875000000003,0.8832031250000001,1.8203125
3469,13888,4.003459210147017,1.2539636782934562,0.3692900866523568,0.870981397567374,2.2070116861435727
41,148,3.6097560975609757,1.2682926829268293,0.43809523809523804,1.0,2.0
507,1793,3.5364891518737673,1.370808678500986,0.31245808182427914,0.8806338028169015,1.5845070422535212
159,584,3.6729559748427674,1.0817610062893082,0.36666666666666664,0.65,2.4
1859,6541,3.5185583647122107,1.3249058633674018,0.44924385633270314,0.9116257088846881,1.4536862003780717
5623,18505,3.29094789258403,1.1524097456873554,0.6166846652267823,0.8789056875449963,1.736501079913607
7503,30096,4.011195521791284,1.3160069305611088,0.3895782019704436,0.8641009852216749,2.1278735632183907
2671,8116,3.038562336203669,1.2220142268813179,0.4492191758858427,0.8314670514670516,2.8404040404040405
348,1443,4.146551724137931,1.3563218390804597,0.311025641025641,0.7876923076923077,1.9076923076923078
521,2245,4.309021113243762,1.2975047984644914,0.386231884057971,0.9429347826086957,1.6195652173913044
320,1118,3.49375,1.3375,0.42000000000000004,0.9882352941176471,1.776470588235294
722,2692,3.7285318559556786,1.3587257617728532,0.370578231292517,0.9104395604395604,1.3516483516483517
4374,16889,3.861225422953818,1.3148148148148149,0.4351467200846072,0.8760887490701159,1.9337474120082816
1350,4318,3.1985185185185183,1.3807407407407408,0.4380701754385965,0.8857894736842106,1.6736842105263159
456,1403,3.0767543859649122,1.2478070175438596,0.43126209833526913,0.8537891986062718,2.024390243902439
511,2008,3.9295499021526417,1.36986301369863,0.3446886446886447,0.8675824175824176,1.7252747252747254
102,373,3.656862745098039,1.2254901960784315,0.40873015873015867,0.9047619047619048,1.2857142857142858
105,418,3.980952380952381,1.3428571428571427,0.27314814814814814,0.8888888888888888,1.3333333333333333
1461,5810,3.976728268309377,1.3408624229979467,0.3093891293891293,0.7946608946608946,1.6363636363636365
1370,4779,3.488321167883212,1.1963503649635037,0.41952662721893486,0.863905325443787,1.9230769230769231
321,1119,3.485981308411215,1.2897196261682242,0.2755555555555555,0.7208333333333333,1.65
448,1557,3.4754464285714284,1.2232142857142858,0.3883303938859495,0.8222222222222222,1.9753086419753085
48722,116081,2.38251713804852,1.0017445917655268,0.5145146520146521,0.796153846153846,1.9423076923076923
3330,10431,3.1324324324324326,1.102102102102102,0.5475012619888944,0.7923439340400472,1.558303886925795
170,576,3.388235294117647,1.1823529411764706,0.2948717948717948,1.0,1.6153846153846154
2291,9581,4.182016586643387,1.248363160192056,0.4225917118874864,0.9037089201877933,1.9492957746478874
271,959,3.5387453874538743,1.1586715867158672,0.24,0.92,1.08
5276,14276,2.705837755875663,1.233131159969674,0.562563508667066,0.9498090589094773,1.5972803347280335
903,2419,2.6788482834994465,1.2414174972314507,0.6147058823529412,0.9281045751633987,1.3137254901960784
1757,5575,3.1730221969265795,1.128628343767786,0.4910837773337772,0.7458291067906454,2.0538461538461537
445,1852,4.1617977528089884,1.3640449438202247,0.24489795918367346,1.0,1.0
707,2825,3.995756718528996,1.2545968882602545,0.5264583333333333,0.7792857142857142,1.8
1124,4545,4.0435943060498225,1.2562277580071175,0.3723270440251572,0.9135220125786163,1.421383647798742
1161,4531,3.9026701119724376,1.194659776055125,0.34105339105339105,0.9305555555555555,2.257575757575758
1244,5142,4.133440514469453,1.1864951768488745,0.51296875,0.83046875,2.1625
5331,23035,4.3209529169011445,1.3338960795347965,0.3556737896761509,0.874870223571522,2.0059031877213696
61,243,3.9836065573770494,1.3934426229508197,0.38974358974358975,1.0,1.5384615384615385
135,491,3.637037037037037,1.2666666666666666,0.375,0.8214285714285714,1.3214285714285714
1951,6808,3.4894925679138904,1.2332137365453613,0.6038725490196079,0.9595588235294118,1.5735294117647058
1764,5553,3.1479591836734695,1.2290249433106577,0.3892246642246645,0.9533882783882784,2.3333333333333335
2478,9927,4.006053268765133,1.192090395480226,0.4216605266748534,0.9327398007913767,1.7879656160458453
2587,9891,3.823347506764592,1.238113645148821,0.38743329228242973,0.8724343185550082,1.9202586206896552
462,1918,4.151515151515151,1.147186147186147,0.48080952380952374,0.8613333333333334,1.98
2176,6637,3.050091911764706,1.2651654411764706,0.3100917870597174,0.7647554259799159,2.507288629737609
815,2824,3.4650306748466257,1.3006134969325154,0.3829457364341087,0.9069767441860468,1.872093023255814
345,1316,3.8144927536231883,1.3159420289855073,0.41016260162601637,0.9451219512195121,1.951219512195122
867,3083,3.5559400230680507,1.2779700115340253,0.29626690182245735,0.7432728647014362,1.9312169312169312
4185,14838,3.545519713261649,1.1825567502986858,0.4393430866322431,0.9694377510040161,1.8457831325301204
326,924,2.834355828220859,1.3588957055214723,0.27356321839080466,0.6310344827586206,3.0
1049,3565,3.398474737845567,1.3222116301239275,0.3948685326547919,0.8838604143947657,2.8625954198473282
168,494,2.9404761904761907,1.2261904761904763,0.484375,0.875,1.21875
1301,4661,3.5826287471176017,1.2413528055342045,0.36589180050718506,0.917061143984221,1.7337278106508875
91,288,3.1648351648351647,1.4835164835164836,0.3235294117647059,0.9779411764705882,1.2941176470588236
136,395,2.9044117647058822,1.1985294117647058,0.4666666666666666,0.9,1.6666666666666667
3854,16085,4.173585884795018,1.1476388168137,0.35387788778877893,0.7324257425742577,3.027227722772277
1318,4469,3.390743550834598,1.319423368740516,0.40035035035035066,0.9166666666666666,1.8018018018018018
