total_tokens,total_bytes,compression,token_span_score,raw_identifier_splitting_score,identifier_splitting_score,identifier_fertility
497,1745,3.511066398390342,0.0,0.49575216450216447,0.7093962585034014,2.642857142857143
2821,9490,3.3640552995391704,0.0,0.562977867203219,0.8454161476797292,2.1287726358148893
4042,14082,3.483918852053439,0.0,0.5935057826069058,0.8442638260615785,3.0786516853932584
602,1976,3.2823920265780733,0.0,0.5220836051315504,0.8853962818003913,1.9794520547945205
1730,6146,3.552601156069364,0.0,0.5097417550785426,0.9174685418208735,2.010362694300518
3107,10096,3.2494367557129062,0.0,0.7233057145557147,0.8672366109866111,2.208108108108108
6440,18203,2.826552795031056,0.0,0.5519013720258538,0.7112723836790232,2.883817427385892
1517,3783,2.4937376400791034,0.0,0.4803513638465094,0.7542995839112344,1.8737864077669903
26,77,2.9615384615384617,0.0,0.625,1.0,1.25
364,1255,3.447802197802198,0.0,0.5661764705882353,0.8235294117647058,1.6029411764705883
1307,4427,3.3871461361897475,0.0,0.5764766483516482,0.859684065934066,1.8397435897435896
4740,14135,2.9820675105485233,0.0,0.5086394557823132,0.8868831168831167,2.038961038961039
796,2448,3.0753768844221105,0.0,0.6294498381877018,1.0,2.3009708737864076
575,2225,3.869565217391304,0.0,0.49151190476190476,0.7092142857142858,2.6
399,1299,3.255639097744361,0.0,0.4814102564102564,0.8341346153846154,1.8269230769230769
900,3147,3.4966666666666666,0.0,0.6151376146788993,0.8653669724770643,1.5458715596330275
2064,6664,3.2286821705426356,0.0,0.4375765091390095,0.6635615079365081,4.716666666666667
723,2515,3.4785615491009683,0.0,0.568372423596304,0.8316631130063965,2.1044776119402986
166,500,3.0120481927710845,0.0,0.5555555555555554,0.8636363636363636,1.6666666666666667
1849,5173,2.797728501892915,0.0,0.6843434343434344,0.9340909090909092,1.3106060606060606
171,572,3.345029239766082,0.0,0.4597701149425287,1.0,1.0344827586206897
157,472,3.0063694267515926,0.0,0.38472222222222224,0.7208333333333333,2.4166666666666665
391,1343,3.4347826086956523,0.0,0.5819209039548023,0.8983050847457628,1.3559322033898304
1310,4946,3.7755725190839695,0.0,0.44761764043678937,0.7355623100303956,2.6631205673758864
21,56,2.6666666666666665,0.0,0.5238095238095238,0.9,1.8333333333333333
51,178,3.4901960784313726,0.0,0.75,1.0,1.125
12,44,3.6666666666666665,0.0,1.0,1.0,1.0
1495,5295,3.5418060200668897,0.0,0.4822743828409548,0.9087818696883853,2.090651558073654
1069,3708,3.46866230121609,0.0,0.6353369763205828,0.9338797814207651,1.5628415300546448
291,1002,3.443298969072165,0.0,0.4973544973544974,0.7129629629629629,2.4074074074074074
3793,12518,3.3002900079093065,0.0,0.5220821661998143,0.8222689075630248,2.334640522875817
1308,3594,2.7477064220183487,0.0,0.42982456140350883,0.7210526315789473,2.1052631578947367
700,2349,3.355714285714286,0.0,0.5083333333333333,0.9163461538461538,1.8557692307692308
391,1358,3.473145780051151,0.0,0.5915550595238096,0.8450520833333334,2.21875
7110,24465,3.440928270042194,0.0,0.6370070171488597,0.8553979511426322,1.9802994483845549
980,3382,3.451020408163265,0.0,0.6632123341139735,0.9332943013270882,2.098360655737705
4991,15847,3.175115207373272,0.0,0.5313324274570486,0.8415402030203638,2.6561712846347607
2137,7094,3.3196069255966307,0.0,0.5952230639730642,0.891816979316979,2.371212121212121
684,2250,3.289473684210526,0.0,0.5646111111111111,0.8797777777777778,2.14
2748,8681,3.159024745269287,0.0,0.5994161462399167,0.724655217278168,2.3135245901639343
3863,12351,3.197256018638364,0.0,0.5916028586013273,0.8826186830015315,1.9356814701378253
3568,10359,2.9033071748878925,0.0,0.42638511027839104,0.731266076918251,2.8300395256916997
7,30,4.285714285714286,0.0,0.3333333333333333,1.0,2.0
71,217,3.056338028169014,0.0,0.2833333333333333,0.75,1.5833333333333333
6140,16076,2.618241042345277,0.0,0.5099060709079796,0.7006843015840897,1.9541284403669725
1258,4270,3.394276629570747,0.0,0.5739096573208724,0.9299065420560748,2.2242990654205608
4557,12476,2.737766074171604,0.0,0.5500625651720541,0.8359958289885295,2.5328467153284673
412,1732,4.203883495145631,0.0,0.27765957446808515,0.825531914893617,1.6382978723404256
1767,5212,2.9496321448783247,0.0,0.47704012075177654,0.824693251533743,2.7024539877300615
1419,4637,3.2677942212825934,0.0,0.4895306122448979,0.9211428571428573,3.2057142857142855
96,353,3.6770833333333335,0.0,0.5688405797101449,0.8282608695652174,2.1739130434782608
1745,6082,3.4853868194842406,0.0,0.5043230063109578,0.8968732071141706,2.1783132530120484
174,817,4.695402298850575,0.0,0.2333333333333333,0.4166666666666667,4.0
823,3509,4.2636695018226005,0.0,0.4536075036075035,0.8914141414141413,1.3863636363636365
728,2014,2.7664835164835164,0.0,0.6124130551096842,0.9797351524879615,2.595505617977528
178,433,2.432584269662921,0.0,0.3020833333333333,0.78125,1.46875
989,3672,3.7128412537917086,0.0,0.7064814814814814,0.8472222222222222,3.111111111111111
1395,4343,3.1132616487455196,0.0,0.5168976823906403,0.8594902749832326,1.7746478873239437
1338,4020,3.004484304932735,0.0,0.5773216289882958,0.8038492063492062,2.9444444444444446
314,1138,3.624203821656051,0.0,0.5637419165196943,0.7592151675485008,1.6790123456790123
1219,4488,3.681706316652994,0.0,0.49599206349206354,0.7514126984126985,2.3866666666666667
3445,12675,3.6792452830188678,0.0,0.5702984234234236,0.8543637387387385,1.8429054054054055
1674,4958,2.9617682198327357,0.0,0.558051801801802,0.9621621621621622,1.837837837837838
592,1815,3.0658783783783785,0.0,0.33152901785714284,0.6967633928571428,2.546875
611,1757,2.8756137479541737,0.0,0.33456993825846293,0.7897540983606559,2.0655737704918034
8946,28639,3.2013190252626873,0.0,0.5046949371581454,0.8787841625788367,2.10791871058164
158,630,3.9873417721518987,0.0,0.6838624338624338,0.9523809523809523,1.5
1314,4553,3.464992389649924,0.0,0.49765211640211654,0.8359126984126983,1.7222222222222223
302,741,2.4536423841059603,0.0,0.27242213804713805,0.4208333333333334,5.125
1057,3290,3.1125827814569536,0.0,0.31981481481481483,0.5608333333333332,3.3666666666666667
523,1434,2.7418738049713194,0.0,0.7153846153846155,0.9205128205128207,2.3333333333333335
1382,4327,3.130969609261939,0.0,0.5378089210367688,0.9118670886075949,2.069620253164557
406,930,2.29064039408867,0.0,0.45622895622895615,0.9090909090909091,1.3535353535353536
771,2726,3.5356679636835278,0.0,0.5740331491712708,0.8817679558011051,1.7845303867403315
311,925,2.9742765273311895,0.0,0.732183908045977,0.9448275862068966,1.896551724137931
1278,4646,3.6353677621283254,0.0,0.3765962190119495,0.6115636704119849,3.0112359550561796
593,1349,2.274873524451939,0.0,0.7044217687074831,0.9214285714285715,5.714285714285714
2552,8692,3.4059561128526648,0.0,0.5144144144144145,0.802027027027027,2.1486486486486487
